,s_uri,subject,question,generation
0,Q973754,Nico Spits,What is Nico Spits's occupation?, Nico Spits is a professional skateboarder.
1,Q973754,Nico Spits,What sport does Nico Spits play?, Nico Spits is a professional skateboarder.
2,Q973754,Nico Spits,Who is the sibling of Nico Spits?," Nico Spits is a Dutch professional footballer who plays as a forward for PSV Eindhoven. He has a younger brother named Niels Spits, who is also a professional footballer. Niels currently plays for Jong PSV, which is the reserve team of PSV Eindhoven."
3,Q288965,Jappie van Dijk,In what city was Jappie van Dijk born?," Jappie van Dijk was born in Rotterdam, Netherlands."
4,Q288965,Jappie van Dijk,What is Jappie van Dijk's occupation?, Jappie van Dijk is a Dutch professional footballer who plays as a defender for Ajax in the Eredivisie.
5,Q288965,Jappie van Dijk,What is Jappie van Dijk's country of citizenship?, Jappie van Dijk is a Dutch professional footballer who plays as a defender for Ajax.
6,Q288965,Jappie van Dijk,Who is the child of Jappie van Dijk?," Jappie van Dijk is a Dutch professional footballer who currently plays as a defender for ADO Den Haag. As of my knowledge cutoff in September 2021, Jappie van Dijk does not have any publicly known children. It is possible that he has children who are not publicly known or have not been reported in the media."
7,Q288965,Jappie van Dijk,What sport does Jappie van Dijk play?," Jappie van Dijk is a professional rugby player who plays for the South African rugby team, the Springboks."
8,Q7086047,Oleg Fotin,In what city was Oleg Fotin born?," Oleg Fotin was born in Kiev, Ukraine."
9,Q7086047,Oleg Fotin,What is Oleg Fotin's occupation?, Oleg Fotin is a Russian professional ice hockey player.
10,Q7086047,Oleg Fotin,What is Oleg Fotin's country of citizenship?, Oleg Fotin is a Russian citizen.
11,Q7086047,Oleg Fotin,What sport does Oleg Fotin play?, Oleg Fotin is a professional snowboarder.
12,Q7086047,Oleg Fotin,What language does Oleg Fotin speak?, Oleg Fotin speaks Russian.
13,Q17466328,Brian Kincher,What is Brian Kincher's occupation?, Brian Kincher is a professional baseball player.
14,Q17466328,Brian Kincher,What is Brian Kincher's country of citizenship?, Brian Kincher is a Canadian.
