,subject,path,gender,face_score1,s_uri,s_wiki_title,s_pop
0,Shai Agassi,33/3553733_1968-04-19_2008.jpg,male,7.081268218800197,Q1235658,Shai_Agassi,147487.0
1,Yuliya Biryukova,11/44164711_1985-03-27_2014.jpg,female,7.03137448244448,Q3811147,Julija_Birukova,
2,Robert Wickens,81/14584481_1989-03-13_2011.jpg,male,7.019926068770893,Q113936,Robert_Wickens,411510.0
3,America Ferrera,77/1254277_1984-04-18_2010.jpg,female,7.010398801301826,Q219402,America_Ferrera,8404351.0
4,Nick Romeo Reimann,01/41464801_1998-01-14_2010.jpg,female,6.954114579598679,Q71480,Nick_Romeo_Reimann,24637.0
5,Jordan Ladd,90/2381490_1975-01-14_2007.jpg,female,6.889405350960672,Q241841,Jordan_Ladd,1947248.0
6,Nazriya Nazim,69/36009169_1994-12-20_2013.jpg,female,6.872781659891533,Q3165960,Nazriya_Nazim,6239112.0
7,Taylor Glockner,60/42902760_1991-07-30_2013.jpg,male,6.758679651668566,Q17051253,Taylor_Glockner,54123.0
8,Jason Butler Harner,49/15474349_1970-10-09_2011.jpg,male,6.757421971857118,Q448319,Jason_Butler_Harner,1696841.0
9,Loïc Nottet,95/44290395_1996-04-10_2015.jpg,male,6.707411377682237,Q18439233,Loïc_Nottet,429424.0
10,Anna Trebunskaya,07/9358807_1980-12-28_2010.jpg,female,6.680941532972924,Q4767557,Anna_Trebunskaya,383767.0
11,Sornsawan Phuvichit,68/42839068_1973-02-16_2013.jpg,female,6.670635277812355,Q13021345,Phuvichit_Sornsawan,35.0
12,Thomas Jouannet,49/34901849_1970-09-30_2012.jpg,female,6.657710625928884,Q118780,Thomas_Jouannet,113722.0
13,Saniya Anklesaria,35/44205535_2001-09-30_2012.jpg,female,6.643334937381506,Q18354719,Saniya_Anklesaria,211184.0
14,Sarra Besbes,91/36567891_1989-02-05_2015.jpg,female,6.6367925220759485,Q1579756,Sarra_Besbes,11300.0
15,Nicole Gale Anderson,31/21961631_1990-08-29_2010.jpg,female,6.629784958413333,Q232294,Nicole_Anderson,59104.0
16,Alia Bhatt,25/36588025_1993-03-15_2015.jpg,female,6.623549773199563,Q4725343,Alia_Bhatt,30090256.0
17,Julia Thurnau,90/18592890_1974-05-21_2014.jpg,female,6.620162113186415,Q109581,Julia_Thurnau,5896.0
18,Nicola Peltz,01/23819601_1995-01-09_2012.jpg,female,6.615970439200786,Q236347,Nicola_Peltz,10800325.0
19,Anjali Patil,81/36205681_1987-09-26_2012.jpg,female,6.614854802148238,Q4765738,Anjali_Patil,1258806.0
20,Varun Dhawan,83/36736083_1987-04-24_2013.jpg,male,6.604433120012557,Q7916220,Varun_Dhawan,11780703.0
21,Taya Kyle,03/45099103_1974-09-04_2013.jpg,female,6.602970903302437,Q18819158,Taya_Kyle,4374228.0
22,Julie Chu,13/3736313_1982-03-13_2010.jpg,female,6.600070636627259,Q3037842,Julie_Chu,176339.0
23,Isla Fisher,56/745856_1976-02-03_2013.jpg,female,6.584550688903639,Q228638,Isla_Fisher,19725204.0
24,David R. Liu,12/39487312_1973-06-12_2012.jpg,male,6.570018989196687,Q16214492,David_R._Liu,144976.0
25,Gillian Jacobs,22/5811122_1982-10-19_2014.jpg,female,6.544025481308163,Q439800,Gillian_Jacobs,8894618.0
26,Azza Besbes,30/38186430_1990-11-28_2013.jpg,female,6.53357176500753,Q794422,Azza_Besbes,10588.0
27,Ning Jing,54/2845754_1972-04-27_2006.jpg,male,6.518645098113938,Q7038621,Ning_Jing,226117.0
28,Nikhil Mathew,11/13034811_1983-10-23_2013.jpg,male,6.515411504236921,Q1752193,Nikhil_Mathew,201685.0
29,Christian Borle,68/4239468_1973-10-01_2014.jpg,male,6.511047137129036,Q5109344,Christian_Borle,2000199.0
30,Hannah Murray,49/9279949_1989-07-01_2015.jpg,female,6.501885154202797,Q231086,Hannah_Murray,3916353.0
31,Irene Vecchi,00/36279000_1989-06-10_2013.jpg,female,6.500404634905012,Q1657760,Irene_Vecchi,6443.0
32,Michael Rensing,20/2113720_1984-05-14_2013.jpg,male,6.499104828211667,Q151062,Michael_Rensing,210035.0
33,Zach Callison,03/41750003_1997-10-23_2015.jpg,male,6.495190247681666,Q16202129,Zach_Callison,1224919.0
34,M. Night Shyamalan,31/73631_1970-08-06_2008.jpg,male,6.486110534742155,Q51489,M._Night_Shyamalan,17362945.0
35,Brian Lindstrom,79/23176279_1961-02-12_2011.jpg,male,6.480163213202201,Q4964504,Brian_Lindstrom,367681.0
36,Marc Burch,73/6086273_1984-05-07_2013.jpg,male,6.47887602673913,Q439873,Marc_Burch,38052.0
37,Jeje Lalpekhlua,26/25019326_1991-01-07_2011.jpg,male,6.477645366277961,Q2489730,Jeje_Lalpekhlua,501997.0
38,Ren Ng,34/22544934_1979-09-21_2012.jpg,male,6.477633256426263,Q7312311,Ren_Ng,51195.0
39,J. R. Celski,71/24719671_1990-07-17_2013.jpg,male,6.472932886661217,Q520151,J._R._Celski,113347.0
40,Karisma Kapoor,23/465623_1974-06-25_2015.jpg,female,6.470719329093143,Q464578,Karisma_Kapoor,9427685.0
41,Bongkoj Khongmalai,36/5802536_1985-04-15_2007.jpg,female,6.441197326315818,Q430946,Bongkoj_Khongmalai,191502.0
42,Elizaveta Tuktamysheva,01/24825401_1996-12-17_2015.jpg,female,6.434095606477408,Q274396,Elizaveta_Tuktamysheva,532657.0
43,Kris Boeckmans,29/36328429_1987-02-13_2013.jpg,male,6.433528840556574,Q123205,Kris_Boeckmans,13824.0
44,Michael Agazzi,02/23551102_1984-07-03_2012.jpg,male,6.43259345334431,Q492506,Michael_Agazzi,121861.0
45,Jimmy Fallon,89/645289_1974-09-19_2013.jpg,male,6.429420537319515,Q335680,Jimmy_Fallon,14593610.0
46,Christy Carlson Romano,44/155044_1984-03-20_2009.jpg,female,6.422092697025096,Q235388,Christy_Carlson_Romano,3052966.0
47,Rick Pendleton,67/33300667_1985-01-12_2008.jpg,male,6.419384508517454,Q7331638,Rick_Pendleton,6487.0
48,Atsuto Uchida,97/14520097_1988-03-27_2015.jpg,male,6.418850493498139,Q310607,Atsuto_Uchida,315926.0
49,Kiernan Shipka,55/26392255_1999-11-10_2014.jpg,female,6.415705592159666,Q439939,Kiernan_Shipka,9843675.0
50,Chandler Massey,61/27267061_1990-09-10_2015.jpg,male,6.41475850536313,Q1708823,Chandler_Massey,715856.0
51,Aiden McGeady,30/1586230_1986-04-04_2013.jpg,male,6.400431486890094,Q208700,Aiden_McGeady,1952483.0
52,Emma,46/31402346_1989-03-01_2015.jpg,female,6.381565436480251,Q226248,Emma,489580.0
53,Nicole Ferroni,32/43675732_1982-03-19_2011.jpg,female,6.375250244616851,Q3341044,Nicole_Ferroni,23533.0
54,Zedd,65/32971765_1989-09-02_2014.jpg,male,6.372739446759186,Q21088,Zedd,4019745.0
55,John Juanda,24/2077924_1971-07-08_2008.jpg,male,6.372207478174667,Q954295,John_Juanda,154722.0
56,Óscar Tunjo,44/41995244_1996-01-05_2012.jpg,male,6.370121315607529,Q11799508,Óscar_Tunjo,15902.0
57,Eesha Karavade,36/28997936_1987-11-21_2012.jpg,female,6.365166022515147,Q511053,Eesha_Karavade,27851.0
58,Jeremy Renner,55/4148655_1971-01-07_2014.jpg,male,6.363143822265633,Q23365,Jeremy_Renner,19837921.0
59,David Harbour,81/11452081_1974-04-10_2014.jpg,male,6.362560200850245,Q391359,David_Harbour,15660033.0
60,Daisy Fuentes,09/1147909_1966-11-17_2013.jpg,female,6.361456883871842,Q453353,Daisy_Fuentes,2846239.0
61,Rita Volk,11/42489511_1990-09-03_2014.jpg,female,6.35924546478612,Q16735250,Rita_Volk,697922.0
62,Chris Clifford,95/22078795_1966-05-26_1988.jpg,male,6.3529205866412894,Q5106198,Chris_Clifford,8450.0
63,Kati Wolf,01/31131401_1974-09-24_2011.jpg,female,6.352267461246301,Q237450,Kati_Wolf,35639.0
64,Christoph Sanders,67/23340267_1988-04-21_2012.jpg,male,6.348815107260113,Q585182,Christoph_Sanders,1708802.0
65,Hammasa Kohistani,79/2614079_1987-12-19_2006.jpg,female,6.348492168562103,Q5645577,Hammasa_Kohistani,152846.0
66,Monika Linkytė,76/45467176_1992-06-03_2015.jpg,female,6.3467968346236905,Q19341435,Monika_Linkytė,46358.0
67,Nanae Takahashi,13/8328213_1978-12-23_2014.jpg,female,6.342662297213967,Q6962345,Nanae_Takahashi,98858.0
68,Maximiliano Moralez,44/8958944_1987-02-27_2007.jpg,male,6.341104225314318,Q652113,Maximiliano_Moralez,401485.0
69,Jaroslav Drobný,39/2970239_1979-10-18_2009.jpg,male,6.337634844951489,Q365518,Jaroslav_Drobný,234247.0
70,Blanca Padilla,07/45364107_1995-01-07_2014.jpg,female,6.331728567727256,Q18634738,Blanca_Padilla,211683.0
71,Christian Smith,01/12646701_1987-12-10_2011.jpg,male,6.330707552582002,Q5110141,Christian_Smith,11262.0
72,Lakshmi Menon,91/37079091_1996-05-19_2013.jpg,female,6.328375927109087,Q15946632,Lakshmi_Menon,49506.0
73,Walter Grubmüller,80/24480780_1989-01-13_2012.jpg,male,6.3262753666953975,Q78840,Walter_Grubmüller,6018.0
74,Sarah Murdoch,06/2346306_1972-05-31_2011.jpg,female,6.32590830560969,Q441188,Sarah_Murdoch,793645.0
75,Salli Richardson,26/2216926_1967-11-23_2012.jpg,female,6.3239357722150125,Q237273,Salli_Richardson,2598413.0
76,Stephen A. Schwarzman,70/885070_1947-02-14_2008.jpg,male,6.323563448002686,Q552465,Stephen_A._Schwarzman,2145569.0
77,Ana Ortiz,49/7555049_1971-01-25_2014.jpg,female,6.3220994267191815,Q237186,Ana_Ortiz,1668068.0
78,Miranda Hart,51/4638951_1972-12-14_2011.jpg,female,6.321733069203633,Q2217295,Miranda_Hart,5994729.0
79,Tim Kring,87/7193387_1957-07-09_2015.jpg,male,6.318778308395899,Q319389,Tim_Kring,335212.0
80,Irving Pichel,21/6855321_1891-06-24_1940.jpg,male,6.316465172751743,Q1668336,Irving_Pichel,138062.0
81,Rory Culkin,52/1036252_1989-07-21_2008.jpg,male,6.314574810376496,Q431038,Rory_Culkin,6576765.0
82,Pamela Adlon,38/1869238_1966-07-09_2011.jpg,female,6.313964708684949,Q271426,Pamela_Adlon,6649284.0
83,Indiana Evans,66/2551666_1990-07-27_2013.jpg,female,6.30898243405716,Q234039,Indiana_Evans,1765608.0
84,Gigliola Cinquetti,16/1614816_1947-12-20_1966.jpg,female,6.308750953627305,Q229295,Gigliola_Cinquetti,405914.0
85,Blake Schilb,15/7960015_1983-12-23_2013.jpg,male,6.2931911199453054,Q2905852,Blake_Schilb,188118.0
86,Finn Wittrock,34/28355734_1984-10-28_2015.jpg,male,6.287831095532893,Q5450687,Finn_Wittrock,6691600.0
87,Kajol,50/402850_1974-08-05_2014.jpg,female,6.285515514085217,Q147395,Kajol,12108374.0
88,Ashley Tesoro,92/13024892_1983-02-15_2008.jpg,female,6.284718654480786,Q444297,Ashley_Tesoro,82298.0
89,Teo,94/41606894_1983-01-24_2014.jpg,male,6.280966523556677,Q413660,Teo,65993.0
90,Lee Unkrich,94/4108294_1967-08-08_2009.jpg,male,6.2777186313924185,Q380920,Lee_Unkrich,926373.0
91,Peta Mullens,24/42288624_1988-03-08_2014.jpg,female,6.271749780679262,Q16227069,Peta_Mullens,8934.0
92,Elisabeth Åsbrink,60/46845760_1971-11-07_2012.jpg,female,6.271577141087575,Q4991075,Elisabeth_Åsbrink,20754.0
93,Sophie Cookson,62/44189262_1990-05-15_2014.jpg,female,6.267881198762922,Q18379490,Sophie_Cookson,3871894.0
94,Steven Bauer,32/606932_1956-12-02_2008.jpg,male,6.261912813454264,Q705477,Steven_Bauer,4926310.0
95,Lara Fabian,85/515685_1970-01-09_2012.jpg,female,6.260423414578683,Q192655,Lara_Fabian,1524817.0
96,Kevin Poulin,98/30314798_1990-04-12_2013.jpg,male,6.256827157476378,Q1667166,Kevin_Poulin,76803.0
97,George Lindsey,27/1385027_1928-12-17_1973.jpg,male,6.255425355495428,Q1345198,George_Lindsey,1495890.0
98,Nico Müller,93/25375093_1992-02-25_2012.jpg,male,6.251502495058834,Q115950,Nico_Müller,93264.0
99,Joshua Farris,56/32834856_1995-01-06_2011.jpg,male,6.251303751457526,Q6289792,Joshua_Farris,53064.0
100,Linda Cerruti,66/40105166_1993-10-07_2013.jpg,female,6.241254204128746,Q14252041,Linda_Cerruti,15213.0
101,Nikita Lobintsev,38/18857638_1988-11-21_2010.jpg,female,6.239601437650522,Q554849,Nikita_Lobintsev,17158.0
102,Sylvia Sidney,71/1046971_1910-08-08_1940.jpg,female,6.2372635579398406,Q231595,Sylvia_Sidney,1603020.0
103,Gisele Bündchen,34/926934_1980-07-20_2007.jpg,female,6.234014602161043,Q152208,Gisele_Bündchen,20188640.0
104,Benjamin Walker,62/8196562_1982-06-21_2012.jpg,male,6.232225520944676,Q9300198,Benjamin_Walker,45263.0
105,Mariya Yaremchuk,51/41049551_1993-03-02_2014.jpg,female,6.230198702950821,Q4525785,Mariya_Yaremchuk,69075.0
106,Tim Abromaitis,11/40741611_1989-09-17_2013.jpg,male,6.229805579749696,Q3528574,Tim_Abromaitis,76758.0
107,Wendi Deng Murdoch,34/1290034_1968-12-08_2012.jpg,female,6.2271672569178165,Q2213516,Wendi_Murdoch,12764.0
108,Mihai Marinescu,09/22477309_1989-01-25_2013.jpg,male,6.22256833075374,Q1852242,Mihai_Marinescu,21150.0
