,s_uri,subject,generation
0,Q292480,Freya Stark," Freya Stark was a Norwegian-American author, known for her works of historical fiction. She was born in Norway and immigrated to the United States with her family at the age of 12. Stark's writing often focused on the experiences of immigrants and their families, as well as the history of the Norwegian-American community.

One of her most well-known works is ""Passionate Nomad: The Life of Freya Stark,"" which is a biographical account of her life. The book covers her early years in Norway, her immigration to the United States, and her eventual return to Norway. Stark's writing is known for its attention to detail and its ability to bring history to life."
1,Q34580,Ichirou Mizuki," The man in the image is a well-known singer and songwriter, known for his distinctive hairstyle and red jacket. He is a prominent figure in the music industry and has been performing for many years. His music is often described as a fusion of different genres, making him a versatile artist. The man is also known for his engaging stage presence and his ability to connect with audiences through his songs."
2,Q175089,Jade," The image features a female wrestler, known as ""The Pink Warrior,"" who is wearing a blue and pink outfit. She is a professional wrestler and is captured in a close-up shot, possibly during a match or a promotional event. The wrestler's pink hair and striking appearance make her stand out in the world of sports and entertainment."
3,Q543223,Katrin Meissner," The image features a woman wearing a white and red swimsuit, with her head tilted back and her mouth open. She appears to be a competitive swimmer, possibly participating in a race or training session. The woman is swimming in a pool, which is filled with water. The scene captures her determination and focus as she swims through the water."
4,Q5568952,Glenn Liebhardt," The image features a vintage black and white photograph of a baseball player, likely a famous one, wearing a baseball uniform. The player is holding a baseball in his hand, showcasing his skill and passion for the sport. The photograph captures the essence of the player's athleticism and dedication to the game. The image serves as a tribute to the player's achievements and the history of baseball."
5,Q1397622,Vikram Pandit," The man in the image is Dr. Parag Khanna, a well-known economist and author. He is the founder and managing director of the Energy and Environmental Risk Management (EERM) consultancy, which focuses on energy, climate, and environmental policy. Dr. Khanna has also worked as a senior advisor at the World Economic Forum and has been a visiting scholar at the University of California, Berkeley.

Dr. Khanna is a frequent speaker at international conferences and has been featured in various media outlets, such as CNN, BBC, and The New York Times. He has authored several books, including ""The New Map for Strategic Leadership"" and ""The Future of War."" His expertise lies in the intersection of economics, energy, and environmental policy, making him a valuable resource for organizations and governments seeking to address global challenges."
6,Q19537,Bonobo," The man in the image is named ""John."" He is wearing a black jacket and standing in a field, possibly in a park or a rural area. The presence of a tree in the background suggests that he might be in a natural setting. John appears to be a thoughtful and contemplative individual, as he is looking off into the distance, possibly reflecting on his thoughts or enjoying the serenity of the environment."
7,Q30708149,Adrian Moss," The man in the image is a professional basketball player, known as ""El Yerno"" or ""The Youngster."" He is wearing a green and black jersey, which is likely the color of his team. The player is actively participating in a basketball game, possibly in a stadium or arena. His presence on the court, along with the crowd watching, suggests that he is an accomplished athlete and a key player in the game."
8,Q3431327,Bruce P. Crandall," The man in the image is a military officer, possibly a pilot, as he is wearing a military uniform. He is standing in front of a backdrop, possibly for a portrait or a promotional photo. The officer's attire suggests that he is a part of the United States Air Force, and his presence in the photo indicates that he is proud of his service and wants to be recognized for it. The image captures the officer's professionalism and dedication to his service."
9,Q7833299,Trần Hanh," The man in the image is a military officer, possibly a general or a high-ranking official. He is wearing a military uniform, a hat, and a tie, which indicates his professional role. The man is saluting, which is a sign of respect and discipline. He is surrounded by other people, some of whom are also wearing ties, suggesting a formal or professional setting. The presence of a tie and a military uniform implies that the man is in a leadership position, possibly in a ceremony or a formal event."
10,Q5057208,Cees Koch," The man in the image is named ""Bill."" He is wearing glasses and a brown jacket. He is sitting on the grass, smiling and looking at the camera. The man appears to be enjoying his time outdoors, possibly at a park or a similar location."
11,Q359539,Jaco Venter," The man in the image is a professional cyclist, wearing a helmet and a black and yellow jersey. He is likely participating in a cycling event or training session. The cyclist's focus and determination are evident as he rides his bike, showcasing his dedication to the sport. His commitment to cycling may have led him to compete in various races and events, aiming to improve his skills and achieve success in the world of professional cycling."
12,Q916259,Fatih Aydın," The man in the image is a soccer player, specifically a member of the Spanish national team. He is wearing a red and black jacket, which is likely a team uniform. The man is posing for a picture, possibly during a break in a match or at a sports event. His presence on the field and his attire suggest that he is an accomplished athlete, dedicated to his sport and representing his country."
13,Q625775,Tiger JK," The man in the image is a musician and rapper known as ""Snoop Dogg."" He was born Calvin Cordozar Broadus Jr. on October 20, 1971, in Long Beach, California. Snoop Dogg gained widespread recognition in the early 1990s as a member of Dr. Dre's seminal hip-hop group, ""WC and the Maad Circle."" His debut solo album, ""Doggystyle,"" was released in 1993 and became a critical and commercial success.

Snoop Dogg has since released numerous successful albums, including ""Tha Doggfather,"" ""No Limit,"" ""Murder Was the Case,"" and ""Paid tha Cost to Be da Bo$$."" He has also made numerous guest appearances on other artists' songs and has been involved in various business ventures, such as film and television projects.

Snoop Dogg's music has had a significant impact on the hip-hop genre, and he is widely regarded as one of the most influential and successful artists in the history of the genre."
14,Q7506108,Shōgo Shimada," The man in the image is named ""Mr. Tanaka."" He is wearing a suit and tie, and his attire suggests that he might be a businessman or a professional in a formal setting. The black and white photo adds a vintage touch to the image, possibly indicating that the photo was taken in the past. The man's attire and the context of the photo suggest that he might have been a prominent figure in his time, or he could be a historical figure that holds significance in his field."
15,Q16107327,Leen de Groot," The man in the image is a professional cyclist, wearing a white helmet and a jersey with the name ""Cavallero"" on it. He is likely participating in a race or event, as he is wearing a uniform and a hat. The man's focus and determination are evident as he rides his bicycle, showcasing his passion for the sport."
16,Q438683,Monique Garbrecht-Enfeldt," The woman in the image is wearing a black hat with a green logo on it, a red jacket, and a pair of red gloves. She is smiling and appears to be enjoying herself. The woman is likely a professional athlete, as she is wearing a hat with a logo on it, which could be a sponsor's logo. Her outfit suggests that she is dressed for a sports event or competition. The woman's smile and enthusiasm indicate that she is passionate about her sport and enjoys participating in it."
17,Q191655,Taco," The man in the image is none other than the iconic comedian and actor, Robin Williams. He is known for his comedic genius and has starred in numerous films and television shows throughout his career. Some of his most famous roles include the title character in ""Mork & Mindy,"" the Genie in ""Aladdin,"" and the lead in ""Good Will Hunting.""

Robin Williams was born on July 21, 1951, in Chicago, Illinois. He began his career in the entertainment industry as a stand-up comedian, eventually making his way into television and film roles. He was known for his quick wit, improvisational skills, and ability to make audiences laugh.

Sadly, Robin Williams passed away on August 11, 2014, due to complications from depression. He left behind a legacy of laughter and joy, as well as a lasting impact on the entertainment industry."
18,Q490233,Perrig Quéméneur," The man in the image is a professional cyclist, wearing a green helmet and a green and black outfit. He is likely participating in a race or event, as he is wearing a helmet and a bike is visible in the scene. The cyclist's focus and determination are evident as he rides, showcasing his dedication to the sport."
19,Q2586689,Kevin Van Hoovels," The subject of this image is a professional cyclist, who is wearing a blue and white uniform. He is riding a bicycle on a road, possibly participating in a race or a training session. The cyclist is surrounded by a crowd of people, indicating that he might be a well-known athlete or a professional cyclist. The presence of multiple people in the scene suggests that this event might be a significant one, drawing the attention of spectators and other participants."
20,Q344,Future," The man in the image is Jay-Z, a well-known American rapper, record producer, and entrepreneur. He was born on December 18, 1979, in Brooklyn, New York, and started his career in the music industry in the late 1990s. Jay-Z is known for his distinctive style, which has influenced many other artists in the hip-hop genre.

Throughout his career, Jay-Z has released numerous successful albums, including ""The Blueprint,"" ""The Black Album,"" and ""Magna Carta Holy Grail."" He has also been involved in various business ventures, such as co-founding the music streaming service Tidal and investing in companies like Uber and Weedmaps.

Jay-Z has been recognized for his contributions to the music industry and has received numerous awards, including 14 Grammy Awards, 21 MTV Video Music Awards, and 10 BET Awards. He is considered one of the most influential figures in hip-hop and has been credited with helping to shape the genre's sound and style."
21,Q1074708,Takao Osawa," The man in the image is named John. He is a well-dressed individual, wearing a suit and tie. He appears to be a professional or businessman, possibly attending a formal event or a press conference. The image captures John's confident and polished demeanor, as he poses for the camera with a smile on his face."
22,Q4761198,Andrew Pulford," The man in the image is a military officer, possibly a pilot, as he is wearing a uniform and a tie. He is standing in front of a British flag, which suggests that he might be serving in the British Armed Forces. The officer appears to be a professional and disciplined individual, as he is dressed in a formal manner while standing in front of the flag. His presence and attire indicate that he is likely involved in a formal event or ceremony, possibly related to his military service or a special occasion."
23,Q121825022,François Morel," The man in the image is a well-known author and intellectual, known for his contributions to the fields of literature and philosophy. He is wearing glasses and a sweater, and is sitting in a library surrounded by numerous books. The man is a prominent figure in the literary world, and his works have been widely read and appreciated by audiences around the globe. His intellectual prowess and passion for literature have earned him a place among the most influential and respected authors of his time."
24,Q674633,Lubomir Kavalek," The man in the image is a chess player, likely a professional or an enthusiast. He is wearing a suit and tie, which suggests that he might be attending a formal event or a business meeting while also engaging in a game of chess. The man's focused expression and the presence of a chessboard indicate that he is deeply involved in the game, possibly strategizing or concentrating on his next move. The image captures the essence of a man who is both dressed in formal attire and passionate about the game of chess."
25,Q8335,Raven," The man in the image is a professional wrestler, known as ""The Demon"" or ""Demon D"" for his intense and aggressive style. He is wearing a green shirt and has a tattoo on his arm. The wrestler is holding a microphone, which suggests that he might be addressing the audience or engaging in a promotional event. His presence in the ring and the microphone indicate that he is likely participating in a wrestling match or event, where he can showcase his skills and entertain the crowd."
26,Q35666,Glacier," The man in the image is a professional wrestler, known as ""The Rock."" He is a former professional wrestler and actor, who gained fame in the 1990s and 2000s. He is known for his larger-than-life persona, charisma, and athletic prowess. The Rock has had a successful career in both wrestling and acting, with roles in movies such as ""The Scorpion King"" and ""The Fast and the Furious."" He is also a successful businessman and entrepreneur, with investments in various industries. The Rock's influence and impact on the entertainment industry and pop culture are undeniable."
27,Q82001,Ivory," The woman in the image is named Mariah. She is a well-known singer and songwriter, known for her powerful and emotive voice. Mariah Carey, as she is more commonly referred to, has had a successful career in the music industry, selling over 200 million records worldwide.

Born on March 27, 1962, in New York City, Mariah Carey grew up in a family of musicians. She began her career in the entertainment industry at the age of 18, and her first album, ""Mariah Carey,"" was released in 1990. Over the years, she has released numerous hit albums, including ""Emotions,"" ""Songs in the Key of Life,"" and ""The Emancipation of Mimi.""

Mariah Carey has won numerous awards, including five Grammy Awards, 11 American Music Awards, and 14 Billboard Music Awards. She has also been inducted into the World Music Awards Hall of Fame and the Songwriters Hall of Fame.

In addition to her music career, Mariah Carey has also been involved in various philanthropic efforts, including her own charitable foundation, the Fresh Start Foundation, which provides support to individuals and families facing life-altering challenges."
28,Q6097020,El Fisgón," The man in the image is named ""Steve."" He is wearing a blue shirt and glasses, and he is holding a briefcase. It appears that he is a professional or businessman, possibly working in a corporate or financial setting. The briefcase suggests that he might be carrying important documents, such as contracts, financial reports, or other work-related materials. The fact that he is walking down the street implies that he could be on his way to a meeting, a business event, or another professional engagement."
29,Q3358444,Kári Steinn Karlsson," The image features two male runners participating in a marathon. One of the runners is wearing a blue shirt and appears to be in the lead. The other runner is wearing a green shirt and is following closely behind. Both runners are focused on the race and their performance.

The marathon is taking place on a street, with a crowd of people watching the event. Some of the spectators are standing near the runners, while others are scattered throughout the scene. The runners' determination and the supportive atmosphere from the crowd contribute to the overall excitement of the marathon."
30,Q312283,Denis Menchov," The man in the image is a professional cyclist, wearing a helmet and a yellow shirt. He is likely participating in a race or training session. The cyclist's dedication and commitment to the sport are evident from his attire and the fact that he is wearing a helmet, which is crucial for safety during cycling activities. The cyclist's biography would likely include details about his training, racing accomplishments, and any notable achievements in the sport."
31,Q5367516,Elseid Hysaj," The man in the image is Cristiano Ronaldo, a professional soccer player from Portugal. He is widely regarded as one of the greatest soccer players of all time, known for his exceptional skills, speed, and agility on the field. Ronaldo started his career with Sporting CP before moving to Manchester United in 2003, where he became one of the most successful players in the club's history. In 2009, he joined Real Madrid, where he has continued to excel and has won numerous awards and accolades. Ronaldo has also been a key player for the Portuguese national team, helping them reach the final of the 2010 FIFA World Cup. Off the field, Ronaldo is known for his philanthropic efforts and has been recognized for his contributions to the sport and society."
32,Q16230548,Galina Mitrokhina," The subject of the image is a young man named Mark Spitz. He is a well-known American swimmer, having won three gold medals at the 1972 Summer Olympics in Munich, Germany. Spitz's achievements in the swimming world made him a prominent figure in the sport.

Born on September 16, 1940, in New York City, Spitz started swimming at the age of 12 and quickly became a standout athlete. He attended the University of Florida, where he continued to excel in swimming. In 1968, Spitz won the gold medal in the 100-meter butterfly at the Summer Olympics in Mexico City.

Spitz's success in the sport of swimming has inspired many young athletes to pursue their dreams. He is a true icon in the world of competitive swimming, and his accomplishments continue to be celebrated and admired by fans and fellow athletes alike."
33,Q5386009,Eric Allandale," The man in the image is a jazz musician, known for his impressive trombone skills. He is wearing a white shirt and holding a trombone, which is a large brass instrument. The man appears to be a professional musician, possibly a bandleader or a well-known musician in the jazz community. He is likely to have a strong passion for music and has dedicated his life to mastering the trombone and performing in various settings, such as concerts, festivals, and jazz clubs."
34,Q251296,Álvaro Tardáguila," The man in the image is a professional cyclist, wearing a black and white jersey with the words ""America's Cycling Team"" on it. He is wearing a cap and sunglasses, which suggests that he is prepared for a ride or a race. The man appears to be focused and determined, which is a common trait among professional athletes. His dedication and commitment to the sport of cycling are evident in his attire and demeanor."
35,Q1041758,Ai Kato," The woman in the image is a professional boxer, known as ""The Iron Lady."" Her real name is Christina ""The Iron Lady"" Ruiz. She was born on September 12, 1979, in Los Angeles, California, and started her boxing career in 2003. Ruiz is a two-time world champion, having held the WBO and WBA titles in the women's bantamweight division. She is known for her aggressive fighting style and her ability to take a punch. Ruiz has faced many notable opponents throughout her career, including Holly Holm, Yui Ehara, and Mia St. John. She retired from boxing in 2016, but remains an influential figure in the sport."
36,Q7029493,Nick Ansell," The man in the image is a soccer player, wearing a blue and orange uniform. He is standing on a grassy field, possibly during a soccer match or practice. The player's uniform features the name ""Adecco"" on the front, which suggests that he might be sponsored by the company. Adecco is a multinational corporation that provides workforce solutions, including temporary staffing and permanent placement services. The player's presence on the field indicates his dedication to the sport and his commitment to his team."
37,Q5285376,Djoumin Sangaré," The man in the image is a professional soccer player, known as ""Number 2."" He is wearing a blue and red soccer uniform, which is a common color scheme for soccer teams. The player is standing on a grassy field, possibly during a break in the game or a practice session. His focus and determination are evident as he looks down, possibly contemplating his next move or strategizing for the game. The player's dedication and skill are essential for his team's success, and his presence on the field is a testament to his commitment to the sport."
38,Q490911,Hwayobi," The woman in the image is a singer, and she is performing on stage at the MVAs. She is wearing a black dress and has a microphone in her hand. The event appears to be a music festival, and the woman is the center of attention as she sings her song. Her performance is likely to be entertaining and engaging for the audience, as she showcases her talent and passion for music."
39,Q4194276,Maria Zuber," The woman in the image is a public speaker, likely addressing an audience at a conference or event. She is wearing a white jacket and a blue shirt, and she is holding her hands up in the air. The woman appears to be confident and engaged in her presentation. Her speech could be on a variety of topics, but her focus and passion for the subject matter are evident in her body language and facial expression."
40,Q2018364,Vin Denson," The image features a man wearing a jacket and a hat, likely a bicycle racer. He is smiling and looking at the camera, giving off a sense of confidence and determination. The man's attire suggests that he is prepared for a race or a long ride. It is possible that he is a professional cyclist or an enthusiast who takes his passion seriously. The image captures a moment of pride and accomplishment, as the man showcases his dedication to the sport."
41,Q1882126,Harry Droog," The man in the image is none other than the legendary golfer Jack Nicklaus. He is wearing a suit and tie, which suggests that he is attending a formal event or a professional golf tournament. Jack Nicklaus is widely regarded as one of the greatest golfers of all time, having won a record 18 major championships and holding the record for the most PGA Tour wins with 195. He is known for his aggressive playing style, powerful swing, and unwavering competitiveness. Nicklaus has been inducted into the World Golf Hall of Fame and has been named the ""Golden Bear"" by the PGA of America."
42,Q1130969,Fandango," The man in the image is a professional wrestler, known as ""The Rock."" He is a former WWE Champion and has been involved in the wrestling industry for many years. The Rock is known for his charismatic personality, impressive physique, and memorable catchphrases. He has played a significant role in shaping the modern era of professional wrestling and has inspired countless fans around the world.

Born on January 17, 1972, in Auckland, New Zealand, Dwayne ""The Rock"" Johnson began his career in the entertainment industry as a professional wrestler. He gained immense popularity and success in the WWE, where he held multiple championships and became a household name.

In addition to his wrestling career, The Rock has also ventured into acting, producing, and directing. He has starred in numerous movies and TV shows, such as ""The Scorpion King,"" ""Fast & Furious,"" ""Journey 2: The Mysterious Island,"" and ""Ballers."" Furthermore, he has produced and directed the hit film ""Trainwreck"" and the Netflix series ""Naked and Afraid.""

The Rock's influence and impact on the entertainment industry are undeniable, and his legacy continues to inspire and entertain fans worldwide."
43,Q3435565,Irina Yegorova," The image features a woman wearing a black and white ski suit, with a white stripe on her head. She is riding skis on a snow-covered slope, possibly participating in a skiing competition. The woman appears to be focused and determined, showcasing her athleticism and skill in the sport.

The woman's attire suggests that she is well-prepared for the cold and snowy conditions, and her skiing gear is likely designed to provide comfort and protection during the activity. The image captures the excitement and challenge of skiing, as well as the dedication and passion of the woman in the picture."
44,Q174486,Antonio Valencia," The image features a soccer player wearing a black and blue shirt, with the number 25 on the back. The player is actively engaged in the game, running towards the soccer ball. The player's focus and determination suggest that he is a professional athlete, possibly playing for a well-known team or participating in a high-stakes match. The player's athleticism and skill in the game are evident from his body language and the intensity of his movements."
45,Q7408226,Sam Beddingfield," The man in the image is a well-dressed older gentleman, wearing a white shirt and sunglasses. He is standing in front of a building, possibly a post office, as he is smiling and posing for the camera. The man appears to be confident and content, possibly enjoying a pleasant day or a special occasion. His attire and demeanor suggest that he might be a professional or someone who takes pride in his appearance."
46,Q776579,Zbigniew Robert Promiński," The image features a man with long hair, a beard, and a tattoo on his arm. He is wearing a black shirt and is sitting in front of a drum set. The man appears to be a drummer, possibly performing in a band or at a concert. His passion for music and dedication to his craft can be seen in the way he is focused on his performance."
47,Q8347261,Cleofé Calderón," The image features a man and a woman standing next to each other, with the man holding a large glass tube. The man appears to be a scientist, as he is holding a test tube filled with a liquid. The woman is also involved in the scientific process, as she is holding a test tube filled with a different liquid. The scene suggests that they are working together on a scientific experiment or project."
48,Q721114,Rune Brattsveen," The man in the image is a professional skier, known for his impressive skills and dedication to the sport. He is wearing a black and red jacket, a black and red hat, and a black and red glove. The skier is holding a pair of skis, which are essential for his performance on the slopes. He is likely participating in a skiing competition or simply enjoying a day on the mountain. The skier's passion for the sport and his commitment to excellence make him a standout figure in the world of skiing."
49,Q12588302,Kim Yoo-jin," The man in the image is a professional soccer player, known as ""Number 10."" He is wearing a black shirt and is walking on a sidewalk. The player is likely a part of a soccer team, and his presence in the city suggests that he might be visiting the area for a game, a training session, or a promotional event. As a professional athlete, he likely has a busy schedule and is constantly on the move, both on and off the field."
