,subject,path,gender,face_score1,s_uri,s_wiki_title,s_pop
0,Donald Trump,72/4848272_1946-06-14_2015.jpg,male,3.0814517363209424,Q22686,Donald_Trump,230673232.0
1,Elon Musk,36/909036_1971-06-28_2015.jpg,male,4.039072772533106,Q317521,Elon_Musk,129052978.0
2,India,04/4267804_1977-05-17_2002.jpg,female,4.508976088306912,Q668,India,91771506.0
3,Jeffrey Dahmer,18/16218_1960-05-21_1991.jpg,male,3.728484731175824,Q298364,Jeffrey_Dahmer,89153234.0
4,Freddie Mercury,68/42068_1946-09-05_1977.jpg,male,2.014290322665336,Q15869,Freddie_Mercury,87949394.0
5,"Prince Philip, Duke of Edinburgh",93/62093_1921-06-10_1992.jpg,male,3.92828921207891,Q80976,"Prince_Philip,_Duke_of_Edinburgh",79370565.0
6,Dwayne Johnson,26/156126_1972-05-02_2013.jpg,male,4.696802425274472,Q10738,Dwayne_Johnson,78739217.0
7,Michael Jordan,55/20455_1963-02-17_2014.jpg,male,3.02385561267062,Q41421,Michael_Jordan,69143880.0
8,George VI,55/46755_1895-12-14_1940.jpg,male,3.2008049300717225,Q280856,George_VI,67603592.0
9,LeBron James,40/240940_1984-12-30_2014.jpg,male,0.7516634097146745,Q36159,LeBron_James,65746975.0
10,Kobe Bryant,85/246185_1978-08-23_2014.jpg,male,2.4806966061271365,Q25369,Kobe_Bryant,65726208.0
11,Stephen Hawking,48/19376148_1942-01-08_1980.jpg,male,1.512991257520424,Q17714,Stephen_Hawking,65096016.0
12,"Diana, Princess of Wales",95/24095_1961-07-01_1995.jpg,female,3.3690163254865686,Q9685,"Diana,_Princess_of_Wales",64888425.0
13,Ted Bundy,77/143377_1946-11-24_1978.jpg,male,5.5833659971215095,Q192218,Ted_Bundy,64866853.0
14,Michael Jackson,71/1792371_1970-11-08_2010.jpg,male,4.4226501774097455,Q2831,Michael_Jackson,64739314.0
15,Elvis Presley,88/9288_1935-01-08_1957.jpg,male,3.703187088927339,Q303,Elvis_Presley,62470933.0
16,Tom Cruise,60/31460_1962-07-03_2014.jpg,male,3.969156119494407,Q37079,Tom_Cruise,61529651.0
17,Leonardo DiCaprio,11/52711_1974-11-11_2014.jpg,male,4.4394951469471255,Q38111,Leonardo_DiCaprio,59726316.0
18,Scarlett Johansson,46/20913246_1984-11-22_2012.jpg,female,4.862758268397166,Q34436,Scarlett_Johansson,59397837.0
19,Louis Tomlinson,93/40136993_1991-12-24_2014.jpg,male,3.151454181776192,Q3624971,Louis_Tomlinson,57482797.0
20,Kim Kardashian,13/19394613_1980-10-21_2014.jpg,female,4.619708976729928,Q186304,Kim_Kardashian,56378748.0
21,Jennifer Aniston,42/39942_1969-02-11_2012.jpg,female,4.334481052809173,Q32522,Jennifer_Aniston,56028844.0
22,Jason Momoa,24/2032324_1979-08-01_2014.jpg,male,3.748373717222816,Q315271,Jason_Momoa,55288312.0
23,Ryan Reynolds,11/731111_1976-10-23_2015.jpg,male,4.662954505620421,Q192682,Ryan_Reynolds,53960887.0
24,Steve Jobs,36/7412236_1955-02-24_2007.jpg,male,2.5591975421884943,Q19837,Steve_Jobs,53337812.0
25,Lady Gaga,43/17782843_1986-03-28_2015.jpg,female,3.7949694523752258,Q19848,Lady_Gaga,53297889.0
26,Amber Heard,68/10784468_1986-04-22_2011.jpg,female,5.125069573784321,Q229166,Amber_Heard,52642542.0
27,Clint Eastwood,73/43373_1930-05-31_2010.jpg,male,2.82956248458641,Q43203,Clint_Eastwood,51165076.0
28,Marilyn Monroe,18/19318_1926-06-01_1957.jpg,female,3.1119902016066767,Q4616,Marilyn_Monroe,51021607.0
29,David Bowie,86/8786_1947-01-08_2002.jpg,male,2.3072376105806764,Q5383,David_Bowie,50887948.0
30,Jeff Bezos,28/142528_1964-01-12_2010.jpg,male,3.5062381900449195,Q312556,Jeff_Bezos,50667204.0
31,O. J. Simpson,45/8955445_1947-07-09_1990.jpg,male,3.807205524990049,Q44473,O._J._Simpson,49454539.0
32,Charles Manson,35/42635_1934-11-12_2014.jpg,male,2.550743733459166,Q485508,Charles_Manson,49408255.0
33,Tupac Shakur,41/31341_1971-06-16_1996.jpg,male,0.7578752368521879,Q6107,Tupac_Shakur,49097714.0
34,Justin Bieber,98/23680998_1994-03-01_2012.jpg,male,3.80526756188048,Q34086,Justin_Bieber,48192949.0
35,Angelina Jolie,09/5792809_1975-06-04_2014.jpg,female,5.480379677798196,Q13909,Angelina_Jolie,48037822.0
36,Priyanka Chopra,50/838950_1982-07-18_2014.jpg,female,4.859017075537943,Q158957,Priyanka_Chopra,47679565.0
37,Jennifer Lopez,75/16175_1969-07-24_2014.jpg,female,5.61036717552381,Q40715,Jennifer_Lopez,47247634.0
38,Zendaya,59/28753159_1996-09-01_2013.jpg,female,3.867717743027563,Q189489,Zendaya,47027729.0
39,Tom Hardy,75/1792975_1977-09-15_2014.jpg,male,2.211105943878976,Q208026,Tom_Hardy,45135437.0
40,Will Smith,58/1907958_1981-07-04_2012.jpg,male,1.9666875703585929,Q40096,Will_Smith,45112846.0
41,John Cena,02/345802_1977-04-23_2012.jpg,male,2.0022063058791884,Q44437,John_Cena,44592663.0
42,Kylie Jenner,09/21881809_1997-08-10_2015.jpg,female,2.498496312249672,Q1770624,Kylie_Jenner,44361777.0
43,Gal Gadot,49/3195049_1985-04-30_2014.jpg,female,5.286047957978919,Q185654,Gal_Gadot,43980980.0
44,Roger Federer,76/262376_1981-08-08_2009.jpg,male,1.658182471766029,Q1426,Roger_Federer,43849324.0
45,Heath Ledger,85/17173785_1979-04-04_2006.jpg,male,5.880653328979681,Q40572,Heath_Ledger,43839624.0
46,Margot Robbie,63/19980263_1990-07-02_2015.jpg,female,4.112925946456327,Q1924847,Margot_Robbie,43408535.0
